airfoil,alpha,CL,CD
NACA0014,10.6,1.0419,0.03008
NACA0014,10.7,1.0465,0.03051
NACA0014,10.8,1.051,0.03097
NACA0014,10.9,1.0555,0.0315
NACA0014,11.0,1.06,0.0322
NACA0014,11.1,1.0647,0.03333
NACA0014,11.2,1.0678,0.03444
NACA0014,11.3,1.07,0.03493
NACA0014,11.4,1.072,0.03548
NACA0014,11.5,1.0739,0.03608
NACA0014,11.6,1.0755,0.03673
NACA0014,11.7,1.0768,0.03743
NACA0014,11.8,1.0779,0.03817
NACA0014,11.9,1.0787,0.03894
NACA0014,12.0,1.0792,0.03975
NACA0014,12.1,1.0793,0.04059
NACA0014,12.2,1.0793,0.04147
NACA0014,12.3,1.0789,0.04238
NACA0014,12.4,1.0781,0.04334
NACA0014,12.5,1.0768,0.04434
NACA0014,12.6,1.0752,0.04538
NACA0014,12.7,1.0733,0.04648
NACA0014,12.8,1.0711,0.04762
NACA0014,12.9,1.0686,0.04882
NACA0014,13.0,1.0657,0.05007
NACA0014,13.1,1.0626,0.05138
NACA0014,13.2,1.0594,0.05273
NACA0014,13.3,1.056,0.05414
NACA0014,13.4,1.0524,0.05561
NACA0014,13.5,1.0486,0.05712
NACA0014,13.6,1.0445,0.0587
NACA0014,13.7,1.0401,0.06036
NACA0014,13.8,1.0353,0.06211
NACA0014,13.9,1.0298,0.06399
NACA0014,14.0,1.0237,0.06601
NACA0014,14.1,1.0165,0.06823
NACA0014,14.2,1.008,0.07068
NACA0014,14.3,0.9981,0.07342
NACA0014,14.4,0.9856,0.0766
NACA0014,14.5,0.9636,0.08145
NACA0014,14.6,0.6978,0.14246
NACA0014,14.7,0.6945,0.14537
NACA0014,14.8,0.6925,0.14794
NACA0014,14.9,0.6918,0.15019
NACA0014,15.0,0.6921,0.15218
NACA0016,0.0,0.0,0.01126
NACA0016,0.1,0.0099,0.01125
NACA0016,0.2,0.0217,0.01126
NACA0016,0.4,0.043,0.0113
NACA0016,0.5,0.0531,0.0113
NACA0016,0.6,0.0651,0.01134
NACA0016,0.7,0.0764,0.01139
NACA0016,0.8,0.0862,0.01142
NACA0016,0.9,0.0963,0.01144
NACA0016,1.0,0.1087,0.01151
NACA0016,1.1,0.12,0.01158
NACA0016,1.2,0.1301,0.01161
NACA0016,1.3,0.1395,0.01165
NACA0016,1.4,0.1526,0.01175
NACA0016,1.5,0.1645,0.01183
NACA0016,1.6,0.1754,0.0119
NACA0016,1.7,0.1844,0.01195
NACA0016,1.8,0.1969,0.01206
NACA0016,1.9,0.2101,0.01214
NACA0016,2.0,0.2228,0.01224
NACA0016,2.1,0.2344,0.01234
NACA0016,2.2,0.2416,0.01241
NACA0016,2.3,0.2567,0.0125
NACA0016,2.4,0.2717,0.01262
NACA0016,2.5,0.2862,0.01277
NACA0016,2.6,0.2997,0.01286
NACA0016,2.7,0.3101,0.01293
NACA0016,2.8,0.3214,0.01303
NACA0016,2.9,0.3383,0.01318
NACA0016,3.0,0.3554,0.01327
NACA0016,3.1,0.3718,0.0134
NACA0016,3.2,0.3875,0.01355
NACA0016,3.3,0.4019,0.01362
NACA0016,3.4,0.4102,0.01369
NACA0016,3.5,0.4292,0.01384
NACA0016,3.6,0.4485,0.01394
NACA0016,3.7,0.4671,0.01404
NACA0016,3.8,0.4844,0.01419
NACA0016,3.9,0.5012,0.01427
NACA0016,4.0,0.516,0.01436
NACA0016,4.1,0.5254,0.0145
NACA0016,4.2,0.5446,0.01458
NACA0016,4.3,0.5631,0.01467
NACA0016,4.4,0.5803,0.01482
NACA0016,4.5,0.5976,0.01488
NACA0016,4.6,0.6133,0.01498
NACA0016,4.7,0.6269,0.01516
NACA0016,4.8,0.6431,0.01521
NACA0016,4.9,0.6612,0.01531
NACA0016,5.0,0.6782,0.01546
NACA0016,5.1,0.6954,0.01552
NACA0016,5.2,0.7112,0.01566
NACA0016,5.3,0.7266,0.01581
NACA0016,5.4,0.7446,0.01588
NACA0016,5.5,0.7611,0.01605
NACA0016,5.6,0.7786,0.01612
NACA0016,5.7,0.7921,0.01624
NACA0016,5.8,0.7983,0.01641
NACA0016,5.9,0.8056,0.01648
NACA0016,6.0,0.8126,0.01657
NACA0016,6.1,0.8189,0.0167
NACA0016,6.2,0.8247,0.0169
NACA0016,6.3,0.8319,0.01696
NACA0016,6.4,0.8385,0.01707
NACA0016,6.5,0.8442,0.01723
NACA0016,6.6,0.8495,0.01745
NACA0016,6.7,0.8564,0.01752
NACA0016,6.8,0.8625,0.01765
NACA0016,6.9,0.8677,0.01783
NACA0016,7.0,0.8721,0.0181
NACA0016,7.1,0.8787,0.01819
NACA0016,7.2,0.8845,0.01832
NACA0016,7.3,0.8896,0.0185
NACA0016,7.4,0.8938,0.01874
NACA0016,7.5,0.8983,0.019
NACA0016,7.6,0.9042,0.01912
NACA0016,7.7,0.9096,0.01927
NACA0016,7.8,0.9142,0.01946
NACA0016,7.9,0.9179,0.01971
NACA0016,8.0,0.9212,0.02005
NACA0016,8.1,0.9268,0.02017
NACA0016,8.2,0.9319,0.02032
NACA0016,8.3,0.9365,0.0205
NACA0016,8.4,0.9404,0.02072
NACA0016,8.5,0.9434,0.02101
NACA0016,8.6,0.9468,0.02138
NACA0016,8.7,0.952,0.02154
NACA0016,8.8,0.9568,0.02173
NACA0016,8.9,0.9613,0.02194
NACA0016,9.0,0.9655,0.02216
NACA0016,9.1,0.9692,0.02241
NACA0016,9.2,0.9723,0.02274
NACA0016,9.3,0.9755,0.02328
NACA0016,9.4,0.9802,0.02348
NACA0016,9.5,0.9848,0.0237
NACA0016,9.6,0.9892,0.02394
NACA0016,9.7,0.9933,0.02419
NACA0016,9.8,0.9966,0.02443
NACA0016,9.9,0.9995,0.02469
NACA0016,10.0,1.0022,0.02499
NACA0016,10.1,1.0051,0.0254
NACA0016,10.2,1.0101,0.02605
NACA0016,10.3,1.0136,0.02628
NACA0016,10.4,1.0174,0.02654
NACA0016,10.5,1.0214,0.02684
NACA0016,10.6,1.0255,0.02716
NACA0016,10.7,1.0295,0.0275
NACA0016,10.8,1.0336,0.02785
NACA0016,10.9,1.0377,0.02823
NACA0016,11.0,1.0416,0.02865
NACA0016,11.1,1.0458,0.02914
NACA0016,11.2,1.051,0.02981
NACA0016,11.3,1.0567,0.03052
NACA0016,11.4,1.0605,0.03093
NACA0016,11.5,1.064,0.03137
NACA0016,11.6,1.0676,0.03185
NACA0016,11.7,1.0713,0.03236
NACA0016,11.8,1.0748,0.03288
NACA0016,11.9,1.0783,0.03341
NACA0016,12.0,1.0818,0.03394
NACA0016,12.1,1.0853,0.03449
NACA0016,12.2,1.0887,0.03505
NACA0016,12.3,1.0921,0.03561
NACA0016,12.4,1.0956,0.0362
NACA0016,12.5,1.099,0.03682
NACA0016,12.6,1.1021,0.03754
NACA0016,12.7,1.1056,0.03847
NACA0016,12.8,1.1078,0.03969
NACA0016,12.9,1.1085,0.04038
NACA0016,13.0,1.109,0.04112
NACA0016,13.1,1.1095,0.04191
NACA0016,13.2,1.1096,0.04275
NACA0016,13.3,1.1097,0.04362
NACA0016,13.4,1.1097,0.04453
NACA0016,13.5,1.1092,0.0455
NACA0016,13.6,1.1088,0.04648
NACA0016,13.7,1.1082,0.0475
NACA0016,13.8,1.1078,0.04853
NACA0016,13.9,1.1073,0.04959
NACA0016,14.0,1.1067,0.05066
NACA0016,14.1,1.1062,0.05175
NACA0016,14.2,1.1053,0.05289
NACA0016,14.3,1.1045,0.05405
NACA0016,14.4,1.1037,0.05523
NACA0016,14.5,1.1028,0.05644
NACA0016,14.6,1.1018,0.05768
NACA0016,14.7,1.1005,0.05897
NACA0016,14.8,1.0986,0.06036
NACA0016,14.9,1.0962,0.06183
NACA0016,15.0,1.0926,0.06347
NACA0018,0.0,-0.0,0.0122
NACA0018,0.1,0.0107,0.01218
NACA0018,0.2,0.0215,0.01218
NACA0018,0.3,0.0322,0.01219
NACA0018,0.4,0.0427,0.01222
NACA0018,0.5,0.0534,0.01222
NACA0018,0.6,0.0644,0.01223
NACA0018,0.7,0.0752,0.01225
NACA0018,0.8,0.0856,0.01229
NACA0018,0.9,0.096,0.01233
NACA0018,1.0,0.1073,0.01234
NACA0018,1.1,0.1183,0.01238
NACA0018,1.2,0.1287,0.01242
NACA0018,1.3,0.1386,0.01248
NACA0018,1.4,0.15,0.01251
NACA0018,1.5,0.1614,0.01256
NACA0018,1.6,0.1722,0.01262
NACA0018,1.7,0.1822,0.01268
NACA0018,1.8,0.1924,0.01274
NACA0018,1.9,0.2045,0.0128
NACA0018,2.0,0.2159,0.01287
NACA0018,2.1,0.2266,0.01295
NACA0018,2.2,0.236,0.01304
NACA0018,2.3,0.247,0.01309
NACA0018,2.4,0.2595,0.01318
NACA0018,2.5,0.2714,0.01328
NACA0018,2.6,0.2825,0.0134
NACA0018,2.7,0.291,0.01347
NACA0018,2.8,0.3027,0.01353
NACA0018,2.9,0.3163,0.01365
NACA0018,3.0,0.3295,0.01379
NACA0018,3.1,0.3419,0.01395
NACA0018,3.2,0.3515,0.014
NACA0018,3.3,0.3604,0.01405
NACA0018,3.4,0.3757,0.0142
NACA0018,3.5,0.3909,0.01438
NACA0018,3.6,0.4055,0.0145
NACA0018,3.7,0.4192,0.0146
NACA0018,3.8,0.4301,0.01471
NACA0018,3.9,0.4385,0.01481
NACA0018,4.0,0.4557,0.01497
NACA0018,4.1,0.473,0.01508
NACA0018,4.2,0.4898,0.01522
NACA0018,4.3,0.5062,0.01541
NACA0018,4.4,0.5226,0.01553
NACA0018,4.5,0.5367,0.01562
NACA0018,4.6,0.5435,0.01571
NACA0018,4.7,0.5624,0.0159
NACA0018,4.8,0.5814,0.01601
NACA0018,4.9,0.5999,0.01611
NACA0018,5.0,0.6172,0.01626
NACA0018,5.1,0.6335,0.01645
NACA0018,5.2,0.649,0.01652
NACA0018,5.3,0.6609,0.01663
NACA0018,5.4,0.6738,0.01678
NACA0018,5.5,0.6919,0.01694
NACA0018,5.6,0.7101,0.01702
NACA0018,5.7,0.727,0.01715
NACA0018,5.8,0.7425,0.01735
NACA0018,5.9,0.7578,0.01745
NACA0018,6.0,0.7705,0.01757
NACA0018,6.1,0.7871,0.01771
NACA0018,6.2,0.804,0.01791
NACA0018,6.3,0.8216,0.01798
NACA0018,6.4,0.8378,0.01811
NACA0018,6.5,0.8527,0.01832
NACA0018,6.6,0.8676,0.0185
NACA0018,6.7,0.8851,0.01857
NACA0018,6.8,0.9014,0.01872
NACA0018,6.9,0.9167,0.019
NACA0018,7.0,0.9322,0.01908
NACA0018,7.1,0.9375,0.01917
NACA0018,7.2,0.9421,0.01929
NACA0018,7.3,0.9461,0.01945
NACA0018,7.4,0.9497,0.01969
NACA0018,7.5,0.9546,0.01979
NACA0018,7.6,0.9594,0.01988
NACA0018,7.7,0.9636,0.02
NACA0018,7.8,0.9672,0.02014
NACA0018,7.9,0.97,0.02032
NACA0018,8.0,0.9724,0.02058
NACA0018,8.1,0.976,0.02072
NACA0018,8.2,0.9797,0.02083
NACA0018,8.3,0.9829,0.02095
NACA0018,8.4,0.9856,0.02109
NACA0018,8.5,0.9875,0.02126
NACA0018,8.6,0.9887,0.02148
NACA0018,8.7,0.9899,0.0218
NACA0018,8.8,0.9926,0.02193
NACA0018,8.9,0.9951,0.02206
NACA0018,9.0,0.9972,0.02221
NACA0018,9.1,0.9989,0.02237
NACA0018,9.2,1.0002,0.02254
NACA0018,9.3,1.0008,0.02274
NACA0018,9.4,1.0002,0.02296
NACA0018,9.5,0.9997,0.02325
NACA0018,9.6,1.0008,0.02355
NACA0018,9.7,1.0012,0.02369
NACA0018,9.8,1.0021,0.02385
NACA0018,9.9,1.0032,0.02404
NACA0018,10.0,1.0044,0.02425
NACA0018,10.1,1.0058,0.02447
NACA0018,10.2,1.0073,0.02471
NACA0018,10.3,1.0089,0.02502
NACA0018,10.4,1.0112,0.0254
NACA0018,10.5,1.0151,0.02588
NACA0018,10.6,1.018,0.02612
NACA0018,10.7,1.0212,0.0264
NACA0018,10.8,1.0247,0.02671
NACA0018,10.9,1.0281,0.02703
NACA0018,11.0,1.0315,0.02737
NACA0018,11.1,1.0349,0.02773
NACA0018,11.2,1.0382,0.02813
NACA0018,11.3,1.0417,0.02859
NACA0018,11.4,1.0461,0.02915
NACA0018,11.5,1.0509,0.02967
NACA0018,11.6,1.0545,0.03008
NACA0018,11.7,1.058,0.03051
NACA0018,11.8,1.0616,0.03096
NACA0018,11.9,1.0653,0.03142
NACA0018,12.0,1.0688,0.0319
NACA0018,12.1,1.0722,0.03239
NACA0018,12.2,1.0756,0.03289
NACA0018,12.3,1.079,0.03341
NACA0018,12.4,1.0823,0.03395
NACA0018,12.5,1.0859,0.03454
NACA0018,12.6,1.0912,0.03521
NACA0018,12.7,1.0953,0.0359
NACA0018,12.8,1.0969,0.03652
NACA0018,12.9,1.0987,0.03717
NACA0018,13.0,1.1004,0.03784
NACA0018,13.1,1.1022,0.03852
NACA0018,13.2,1.104,0.03921
NACA0018,13.3,1.1058,0.03992
NACA0018,13.4,1.1078,0.04062
NACA0018,13.5,1.1099,0.04133
NACA0018,13.6,1.112,0.04205
NACA0018,13.7,1.1141,0.04278
NACA0018,13.8,1.1163,0.04352
NACA0018,13.9,1.1184,0.0443
NACA0018,14.0,1.1212,0.04508
NACA0018,14.1,1.1247,0.04594
NACA0018,14.2,1.1259,0.047
NACA0018,14.3,1.1254,0.04799
NACA0018,14.4,1.1248,0.04902
NACA0018,14.5,1.1238,0.05011
NACA0018,14.6,1.1226,0.05124
NACA0018,14.7,1.1212,0.05242
NACA0018,14.8,1.1195,0.05366
NACA0018,14.9,1.1177,0.05492
NACA0018,15.0,1.1159,0.05621
NACA0020,0.0,0.0,0.01319
NACA0020,0.1,0.0103,0.01319
NACA0020,0.2,0.0207,0.01321
NACA0020,0.3,0.0321,0.01322
NACA0020,0.4,0.0426,0.01321
NACA0020,0.5,0.053,0.01321
NACA0020,0.6,0.0633,0.01323
NACA0020,0.7,0.0733,0.01326
NACA0020,0.8,0.0852,0.01329
NACA0020,0.9,0.0958,0.01329
NACA0020,1.0,0.1061,0.01331
NACA0020,1.1,0.1162,0.01333
NACA0020,1.2,0.1259,0.01336
NACA0020,1.3,0.1382,0.01343
NACA0020,1.4,0.1489,0.01344
NACA0020,1.5,0.1592,0.01347
NACA0020,1.6,0.169,0.0135
NACA0020,1.7,0.1785,0.01353
NACA0020,1.8,0.1911,0.01362
NACA0020,1.9,0.2021,0.01366
NACA0020,2.0,0.2123,0.0137
NACA0020,2.1,0.2219,0.01373
NACA0020,2.2,0.2314,0.01377
NACA0020,2.3,0.2439,0.01388
NACA0020,2.4,0.2554,0.01397
NACA0020,2.5,0.2656,0.01401
NACA0020,2.6,0.275,0.01405
NACA0020,2.7,0.2841,0.01409
NACA0020,2.8,0.2968,0.01421
NACA0020,2.9,0.3089,0.01435
NACA0020,3.0,0.3194,0.01442
NACA0020,3.1,0.3288,0.01447
NACA0020,3.2,0.3368,0.01451
NACA0020,3.3,0.3499,0.01463
NACA0020,3.4,0.3628,0.01482
NACA0020,3.5,0.3742,0.01491
NACA0020,3.6,0.3845,0.01498
NACA0020,3.7,0.3916,0.01502
NACA0020,3.8,0.4035,0.01514
NACA0020,3.9,0.4174,0.01532
NACA0020,4.0,0.4308,0.01548
NACA0020,4.1,0.443,0.01558
NACA0020,4.2,0.4532,0.01567
NACA0020,4.3,0.4581,0.01571
NACA0020,4.4,0.4735,0.0159
NACA0020,4.5,0.4892,0.01611
NACA0020,4.6,0.5039,0.01623
NACA0020,4.7,0.5181,0.01636
NACA0020,4.8,0.531,0.01649
NACA0020,4.9,0.54,0.01662
NACA0020,5.0,0.5493,0.01678
NACA0020,5.1,0.5665,0.0169
NACA0020,5.2,0.5837,0.01705
NACA0020,5.3,0.6006,0.01721
NACA0020,5.4,0.6171,0.01742
NACA0020,5.5,0.6335,0.01759
NACA0020,5.6,0.648,0.0177
NACA0020,5.7,0.6509,0.01777
NACA0020,5.8,0.67,0.01793
NACA0020,5.9,0.6885,0.01817
NACA0020,6.0,0.7069,0.01832
NACA0020,6.1,0.7245,0.01844
NACA0020,6.2,0.7409,0.01858
NACA0020,6.3,0.7559,0.01877
NACA0020,6.4,0.7693,0.01899
NACA0020,6.5,0.7772,0.01908
NACA0020,6.6,0.7956,0.01919
NACA0020,6.7,0.8132,0.01935
NACA0020,6.8,0.8297,0.01957
NACA0020,6.9,0.8458,0.01977
NACA0020,7.0,0.8613,0.01989
NACA0020,7.1,0.8749,0.02002
NACA0020,7.2,0.8868,0.0202
NACA0020,7.3,0.9034,0.02045
NACA0020,7.4,0.9204,0.0206
NACA0020,7.5,0.9367,0.02072
NACA0020,7.6,0.9519,0.02087
NACA0020,7.7,0.9661,0.02108
NACA0020,7.8,0.9798,0.02139
NACA0020,7.9,0.9965,0.02152
NACA0020,8.0,1.0128,0.02164
NACA0020,8.1,1.0283,0.0218
NACA0020,8.2,1.0384,0.022
NACA0020,8.3,1.0396,0.02219
NACA0020,8.4,1.0414,0.02241
NACA0020,8.5,1.0429,0.02249
NACA0020,8.6,1.044,0.02258
NACA0020,8.7,1.0448,0.02269
NACA0020,8.8,1.0451,0.0228
NACA0020,8.9,1.0448,0.02293
NACA0020,9.0,1.044,0.02307
NACA0020,9.1,1.0427,0.02322
NACA0020,9.2,1.0408,0.02341
NACA0020,9.3,1.0394,0.02366
NACA0020,9.4,1.0366,0.02378
NACA0020,9.5,1.0329,0.02386
NACA0020,9.6,1.0298,0.02396
NACA0020,9.7,1.0272,0.02408
NACA0020,9.8,1.025,0.02421
NACA0020,9.9,1.0233,0.02436
NACA0020,10.0,1.0218,0.02452
NACA0020,10.1,1.0207,0.02471
NACA0020,10.2,1.0201,0.02493
NACA0020,10.3,1.0201,0.0252
NACA0020,10.4,1.0223,0.02557
NACA0020,10.5,1.0235,0.02583
NACA0020,10.6,1.024,0.02604
NACA0020,10.7,1.0249,0.02629
NACA0020,10.8,1.0261,0.02655
NACA0020,10.9,1.0276,0.02683
NACA0020,11.0,1.0292,0.02712
NACA0020,11.1,1.031,0.02744
NACA0020,11.2,1.0331,0.0278
NACA0020,11.3,1.0358,0.0282
NACA0020,11.4,1.0405,0.02867
NACA0020,11.5,1.0439,0.02907
NACA0020,11.6,1.0462,0.02945
NACA0020,11.7,1.049,0.02985
NACA0020,11.8,1.0519,0.03026
NACA0020,11.9,1.0547,0.03069
NACA0020,12.0,1.0577,0.03113
NACA0020,12.1,1.0608,0.03158
NACA0020,12.2,1.0637,0.03205
NACA0020,12.3,1.0668,0.03254
NACA0020,12.4,1.0704,0.03305
NACA0020,12.5,1.076,0.03359
NACA0020,12.6,1.0797,0.03416
NACA0020,12.7,1.0814,0.03472
NACA0020,12.8,1.0831,0.03531
NACA0020,12.9,1.0851,0.03591
NACA0020,13.0,1.0872,0.03651
NACA0020,13.1,1.0894,0.03713
NACA0020,13.2,1.0915,0.03775
NACA0020,13.3,1.0939,0.03836
NACA0020,13.4,1.0962,0.03899
NACA0020,13.5,1.0984,0.03965
NACA0020,13.6,1.1013,0.04029
NACA0020,13.7,1.1052,0.04092
NACA0020,13.8,1.1108,0.04156
NACA0020,13.9,1.111,0.04238
NACA0020,14.0,1.1113,0.04324
NACA0020,14.1,1.1116,0.04412
NACA0020,14.2,1.1121,0.04499
NACA0020,14.3,1.1127,0.04587
NACA0020,14.4,1.1132,0.04677
NACA0020,14.5,1.1139,0.04767
NACA0020,14.6,1.1149,0.04855
NACA0020,14.7,1.1161,0.04942
NACA0020,14.8,1.1172,0.05031
NACA0020,14.9,1.1184,0.0512
NACA0020,15.0,1.1197,0.0521
NACA24010,0.0,0.2467,0.00939
NACA24010,0.1,0.2562,0.00941
NACA24010,0.2,0.2657,0.00945
NACA24010,0.3,0.2752,0.0095
NACA24010,0.4,0.2848,0.00955
NACA24010,0.5,0.2945,0.00961
NACA24010,0.6,0.3042,0.00968
NACA24010,0.7,0.3138,0.00975
NACA24010,0.8,0.3234,0.00982
NACA24010,0.9,0.333,0.0099
NACA24010,1.0,0.3425,0.00999
NACA24010,1.1,0.3522,0.01007
NACA24010,1.2,0.3618,0.01016
NACA24010,1.3,0.3714,0.01025
NACA24010,1.4,0.381,0.01035
NACA24010,1.5,0.3907,0.01044
NACA24010,1.6,0.4004,0.01052
NACA24010,1.7,0.4101,0.01063
NACA24010,1.8,0.4198,0.01071
NACA24010,1.9,0.4296,0.01081
NACA24010,2.0,0.4393,0.0109
NACA24010,2.1,0.4491,0.01099
NACA24010,2.2,0.4588,0.01109
NACA24010,2.3,0.4686,0.01119
NACA24010,2.4,0.4784,0.01128
NACA24010,2.5,0.4882,0.0114
NACA24010,2.6,0.4981,0.01148
NACA24010,2.7,0.5079,0.01159
NACA24010,2.8,0.5178,0.01169
NACA24010,2.9,0.5277,0.01178
NACA24010,3.0,0.5375,0.0119
NACA24010,3.1,0.5474,0.012
NACA24010,3.2,0.5574,0.01209
NACA24010,3.3,0.5672,0.01222
NACA24010,3.4,0.5772,0.01233
NACA24010,3.5,0.5872,0.01242
NACA24010,3.6,0.5972,0.01254
NACA24010,3.7,0.6071,0.01268
NACA24010,3.8,0.6172,0.01276
NACA24010,3.9,0.6272,0.01287
NACA24010,4.0,0.6372,0.01301
NACA24010,4.1,0.6472,0.01313
NACA24010,4.2,0.6573,0.01323
NACA24010,4.3,0.6673,0.01335
NACA24010,4.4,0.6774,0.0135
NACA24010,4.5,0.6874,0.01362
NACA24010,4.6,0.6975,0.01372
NACA24010,4.7,0.7076,0.01385
NACA24010,4.8,0.7177,0.01401
NACA24010,4.9,0.7279,0.01413
NACA24010,5.0,0.738,0.01424
NACA24010,5.1,0.7481,0.01437
NACA24010,5.2,0.7583,0.01453
NACA24010,5.3,0.7685,0.01467
NACA24010,5.4,0.7786,0.01478
NACA24010,5.5,0.7888,0.01491
NACA24010,5.6,0.7991,0.01507
NACA24010,5.7,0.8093,0.01522
NACA24010,5.8,0.8194,0.01534
NACA24010,5.9,0.8296,0.01547
NACA24010,6.0,0.84,0.01563
NACA24010,6.1,0.8501,0.01579
NACA24010,6.2,0.8602,0.0159
NACA24010,6.3,0.8704,0.01603
NACA24010,6.4,0.8808,0.0162
NACA24010,6.5,0.8908,0.01635
NACA24010,6.6,0.9009,0.01646
NACA24010,6.7,0.9111,0.01659
NACA24010,6.8,0.9214,0.01676
NACA24010,6.9,0.9312,0.01688
NACA24010,7.0,0.9412,0.01698
NACA24010,7.1,0.9514,0.01711
NACA24010,7.2,0.9613,0.01725
NACA24010,7.3,0.971,0.01733
NACA24010,7.4,0.981,0.01743
NACA24010,7.5,0.9908,0.01756
NACA24010,7.6,1.0005,0.01763
NACA24010,7.7,1.0103,0.01772
NACA24010,7.8,1.0199,0.01784
NACA24010,7.9,1.0295,0.01791
NACA24010,8.0,1.0392,0.01803
NACA24010,8.1,1.0487,0.01812
NACA24010,8.2,1.0582,0.0182
NACA24010,8.3,1.0677,0.01832
NACA24010,8.4,1.0771,0.01841
NACA24010,8.5,1.0864,0.01853
NACA24010,8.6,1.0958,0.01862
NACA24010,8.7,1.1049,0.01875
NACA24010,8.8,1.1141,0.01886
NACA24010,8.9,1.1232,0.01901
NACA24010,9.0,1.1318,0.01917
NACA24010,9.1,1.1409,0.01932
NACA24010,9.2,1.1496,0.01951
NACA24010,9.3,1.158,0.01973
NACA24010,9.4,1.166,0.02001
NACA24010,9.5,1.1735,0.02034
NACA24010,9.6,1.1801,0.02076
NACA24010,9.7,1.186,0.02126
NACA24010,9.8,1.1915,0.02181
NACA24010,9.9,1.1963,0.02242
NACA24010,10.0,1.2006,0.02306
NACA24010,10.1,1.2044,0.02372
NACA24010,10.2,1.2082,0.02436
NACA24010,10.3,1.2121,0.02499
NACA24010,10.4,1.2145,0.02569
NACA24010,10.5,1.218,0.02631
NACA24010,10.6,1.2206,0.02697
NACA24010,10.7,1.2217,0.0277
NACA24010,10.8,1.2243,0.0283
NACA24010,10.9,1.2252,0.02894
NACA24010,11.0,1.2245,0.02969
NACA24010,11.1,1.2254,0.0304
NACA24010,11.2,1.2267,0.03109
NACA24010,11.3,1.2273,0.03183
NACA24010,11.4,1.2271,0.03266
NACA24010,11.5,1.2255,0.03364
NACA24010,11.6,1.227,0.03445
NACA24010,11.7,1.2277,0.03533
NACA24010,11.8,1.2282,0.03625
NACA24010,11.9,1.2285,0.0372
NACA24010,12.0,1.2288,0.03819
NACA24010,12.1,1.2289,0.03922
NACA24010,12.2,1.2289,0.0403
NACA24010,12.3,1.2293,0.04138
NACA24010,12.4,1.2296,0.0425
NACA24010,12.5,1.2297,0.04365
NACA24010,12.6,1.2297,0.04482
NACA24010,12.7,1.2299,0.04598
NACA24010,12.8,1.2302,0.04712
NACA24010,12.9,1.231,0.04821
NACA24010,13.0,1.2329,0.04918
NACA24010,13.1,1.2312,0.05064
NACA24010,13.2,1.2295,0.05214
NACA24010,13.3,1.2278,0.05365
NACA24010,13.4,1.2264,0.05516
NACA24010,13.5,1.225,0.05665
NACA24010,13.6,1.2237,0.05815
NACA24010,13.7,1.2222,0.05968
NACA24010,13.8,1.2207,0.06122
NACA24010,13.9,1.2192,0.06276
NACA24010,14.0,1.2177,0.06432
NACA24010,14.1,1.2164,0.06583
NACA24010,14.2,1.2156,0.06726
NACA24010,14.3,1.2156,0.06859
NACA24010,14.4,1.2165,0.06977
NACA24010,14.5,1.2145,0.07144
NACA24010,14.6,1.2092,0.07363
NACA24010,14.7,1.2037,0.07586
NACA24010,14.8,1.1979,0.07816
NACA24010,14.9,1.192,0.08052
NACA24010,15.0,1.1859,0.08294
NACA24012,0.0,0.2101,0.01092
NACA24012,0.1,0.2338,0.01106
NACA24012,0.2,0.2544,0.01117
NACA24012,0.3,0.2734,0.01124
NACA24012,0.4,0.2904,0.0113
NACA24012,0.5,0.308,0.01135
NACA24012,0.6,0.3252,0.01141
NACA24012,0.7,0.343,0.01146
NACA24012,0.8,0.3607,0.01151
NACA24012,0.9,0.3767,0.01156
NACA24012,1.0,0.386,0.0116
NACA24012,1.1,0.3954,0.01164
NACA24012,1.2,0.4048,0.01168
NACA24012,1.3,0.4142,0.01174
NACA24012,1.4,0.4237,0.01177
NACA24012,1.5,0.4331,0.01184
NACA24012,1.6,0.4427,0.01188
NACA24012,1.7,0.4521,0.01195
NACA24012,1.8,0.4618,0.01199
NACA24012,1.9,0.4713,0.01206
NACA24012,2.0,0.4808,0.01213
NACA24012,2.1,0.4904,0.01218
NACA24012,2.2,0.4998,0.01227
NACA24012,2.3,0.5093,0.01232
NACA24012,2.4,0.5187,0.01239
NACA24012,2.5,0.528,0.0125
NACA24012,2.6,0.5375,0.01255
NACA24012,2.7,0.547,0.01262
NACA24012,2.8,0.5563,0.01273
NACA24012,2.9,0.5658,0.0128
NACA24012,3.0,0.5752,0.01287
NACA24012,3.1,0.5846,0.01297
NACA24012,3.2,0.5941,0.01309
NACA24012,3.3,0.6035,0.01315
NACA24012,3.4,0.6129,0.01323
NACA24012,3.5,0.6223,0.01334
NACA24012,3.6,0.6318,0.01346
NACA24012,3.7,0.6412,0.01354
NACA24012,3.8,0.6507,0.01363
NACA24012,3.9,0.6601,0.01374
NACA24012,4.0,0.6696,0.01388
NACA24012,4.1,0.679,0.01396
NACA24012,4.2,0.6885,0.01406
NACA24012,4.3,0.6979,0.01417
NACA24012,4.4,0.7075,0.01432
NACA24012,4.5,0.7169,0.01442
NACA24012,4.6,0.7264,0.01451
NACA24012,4.7,0.7359,0.01463
NACA24012,4.8,0.7455,0.01476
NACA24012,4.9,0.7551,0.01492
NACA24012,5.0,0.7644,0.01501
NACA24012,5.1,0.7739,0.01512
NACA24012,5.2,0.7835,0.01524
NACA24012,5.3,0.7932,0.01539
NACA24012,5.4,0.8028,0.01555
